Name,Year,Performance
Total,2013,82.3
Total,2014,72.4
Total,2015,71.2
Total,2016,79.1
Total,2017,74.6
Total,2018,73
Total,2019,75.1
Total,2020,79.7
Total,2021,77.5
Northeast Corridor,2013,86.2
Northeast Corridor,2014,77.3
Northeast Corridor,2015,76.5
Northeast Corridor,2016,80.3
Northeast Corridor,2017,76.7
Northeast Corridor,2018,79.7
Northeast Corridor,2019,84.1
Northeast Corridor,2020,86.9
Northeast Corridor,2021,83
State Supported,2013,82
State Supported,2014,73.8
State Supported,2015,71.4
State Supported,2016,81.4
State Supported,2017,77.7
State Supported,2018,76.4
State Supported,2019,75.6
State Supported,2020,80.9
State Supported,2021,82
Long Distance,2013,71.9
Long Distance,2014,50.4
Long Distance,2015,53.7
Long Distance,2016,63.1
Long Distance,2017,52.1
Long Distance,2018,43.1
Long Distance,2019,50.2
Long Distance,2020,58.7
Long Distance,2021,52